Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
,,,,,,,,,,,,,,,,,,
569,01-Oct-03,"17,000,000,000","21,207,900,000","4,207,900,000","16,999,800,000","15,562,579,279","1,437,220,721",01-Apr-04,182,,,,91.546,16.955,,18.521,982,
570,15-Oct-03,"10,000,000,000","14,289,000,000","4,289,000,000","10,000,000,000","9,129,494,785","870,505,215",29-Apr-04,182,,,,91.295,17.458,,19.123,948,
571,29-Oct-03,"12,000,000,000","18,007,500,000","6,007,500,000","12,000,000,000","10,925,257,037","1,074,742,963",29-Apr-04,182,,,,91.044,17.962,,19.729,916,
,,,,,,,,,,,,,,,,,,
572,12-Nov-03,"11,000,000,000","11,850,600,000","850,600,000","11,000,000,000","9,963,012,746","1,036,987,254",27-May-04,182,,,,90.573,18.906,,20.874,860,
573,26-Nov-03,"12,000,000,000","18,208,600,000","6,208,600,000","12,000,000,000","10,806,571,738","1,193,428,262",01-Jul-00,182,,,,90.055,19.945,,22.147,805,
,,,,,,,,,,,,,,,,,,
574,10-Dec-03,"10,000,000,000","10,000,000,000", -   ,"10,000,000,000","8,949,773,688","1,050,226,312",24-Jun-04,182,,,,89.498,21.063,,23.533,752,
575,24-Dec-03,"12,000,000,000","15,818,400,000","3,818,400,000","11,999,900,000","10,728,269,282","1,271,630,718",01-Jul-00,182,,,,89.403,21.252,,23.771,743,
,,,,,,,,,,,,,,,,,,
576,07-Jan-04,"12,000,000,000","15,589,400,000","3,589,400,000","12,000,000,000","10,735,757,147","1,264,242,853",22-Jul-04,182,,,,89.465,21.129,,23.616,749,
577,21-Jan-04,"6,000,000,000","19,790,500,000","13,790,500,000","6,000,000,000","5,440,373,718","559,626,282",01-Jul-00,182,,,,90.673,18.705,,20.629,872,
,,,,,,,,,,,,,,,,,,
578,04-Feb-04,"5,000,000,000","12,895,900,000","7,895,900,000","5,000,000,000","4,586,714,050","413,285,950",19-Aug-04,182,,,,91.734,16.577,,18.071,"1,009",
579,18-Feb-04,"4,000,000,000","12,814,900,000","8,814,900,000","4,000,000,000","3,722,009,175","277,990,825",01-Jul-00,182,,,,93.05,13.938,,14.979,"1,238",
,,,,,,,,,,,,,,,,,,
580,03-Mar-04,"3,000,000,000","12,054,900,000","9,054,900,000","3,000,000,000","2,829,788,740","170,211,260",16-Sep-04,182,,,,94.326,11.379,,12.064,"1,562",
581,17-Mar-04,"3,000,000,000","15,260,800,000","12,260,800,000","3,000,000,000","2,867,987,120","132,012,880",30-Sep-04,182,,,,95.6,8.825,,9.23,"2,072",
582,31-Mar-04,"4,000,000,000","17,738,400,000","13,738,400,000","4,000,000,000","3,860,147,778","139,852,222",01-Jul-00,182,,,,96.504,7.012,,7.266,"2,660",
,,,,,,,,,,,,,,,,,,
583,14-Apr-04,"3,000,000,000","9,184,000,000","6,184,000,000","3,000,000,000","2,907,752,990","92,247,010",28-Oct-04,182,,,,96.925,6.167,,6.362,"3,052",
584,28-Apr-04,"4,000,000,000","7,800,300,000","3,800,300,000","4,000,000,000","3,868,192,818","131,807,182",01-Jul-00,182,,,,96.705,6.608,,6.834,"2,834",
,,,,,,,,,,,,,,,,,,
585,12-May-04,"4,000,000,000","6,664,100,000","2,664,100,000","4,000,000,000","3,855,759,954","144,240,046",25-Nov-04,182,,,,96.394,7.232,,7.502,"2,573",
586,26-May-04,"5,000,000,000","11,314,100,000","6,314,100,000","5,000,000,000","4,815,769,956","184,230,044",01-Jul-00,182,,,,96.315,7.389,,7.672,"2,513",
,,,,,,,,,,,,,,,,,,
587,10-Jun-04,"5,000,000,000","7,150,600,000","2,150,600,000","5,000,000,000","4,807,856,344","192,143,656",23-Dec-04,182,,,,96.157,7.707,,8.015,"2,402",
588,23-Jun-04,"4,000,000,000","7,975,500,000","3,975,500,000","4,000,000,000","3,849,388,944","150,611,056",01-Jul-00,182,,,,96.235,7.551,,7.847,"2,455",
,,,,,,,,,,,,,,,,,,
589,07-Jul-04,"4,000,000,000","4,000,000,000", -   ,"4,000,000,000","3,841,313,398","158,686,602",20-Jan-05,182,,,,96.033,7.956,,8.285,"2,320",
590,21-Jul-04,"6,000,000,000","15,471,800,000","9,471,800,000","6,000,000,000","5,760,711,614","239,288,386",20-Jan-05,182,,,,96.012,7.998,,8.33,"2,307",
,,,,,,,,,,,,,,,,,,
591,04-Aug-04,"6,000,000,000","10,608,300,000","4,608,300,000","6,000,000,000","5,765,098,556","234,901,444",17-Feb-05,182,,,,96.085,7.852,,8.171,"2,354",
592,18-Aug-04,"7,000,000,000","7,000,000,000", -   ,"7,000,000,000","6,713,417,400","286,582,600",01-Jul-00,182,,,,95.906,8.211,,8.561,"2,242",
,,,,,,,,,,,,,,,,,,
593,01-Sep-04,"6,000,000,000","7,451,400,000","1,451,400,000","6,000,000,000","5,741,469,334","258,530,666",17-Mar-05,182,,,,95.691,8.641,,9.03,"2,120",
